category,code
Anna Clyne,327
Anne Murray,328
Anne Sofie von Otter,329
Annella,330
Anni Piper,331
Annie Lennox,332
Anomaly,333
Anouar Brahem,334
Anthem Lights,335
Anthony Gomes,336
Anthony Wonsey Trio,337
Anthrax,338
Anti-Lilly & Phoniks,339
Anton Batagov,340
Anton Bruckner,341
Anton Rubinstein,342
Anton Webern,343
Antonio Salieri,344
Antonio Soler,345
Antonio Vivaldi,346
Antonín Dvořák,347
Antônio Carlos Jobim,348
Aoi Teshima,349
Apashe,350
Aphex Twin,351
Apocalyptica,352
Apollo 440,353
Apollo Brown,354
Apparat,355
Appleby,356
April Wine,357
Aqua Timez,358
Aqualung,359
Aram Khachaturian,360
Aranda,361
Arcade Fire,362
Arcangel,363
Arcangelo Corelli,364
Arch Echo,365
Archie Bell & The Drells,366
Archie Bronson Outfit,367
Archie Semple,368
Archive,369
Archspire,370
Archy Marshall,371
Arctic Monkeys,372
Ardhito Pramono,373
Ardian Bujupi,374
Aretha Franklin,375
Argonaut & Wasp,376
Ari Lennox,377
Ariel Pink,378
Aries,379
Arin Ray,380
Arizona Zervas,381
Arlie,382
Arlo Parks,383
Armand Van Helden,384
Armas Järnefelt,385
Armen Miran,386
Armors,387
Arne Domnérus,388
Arnold Bax,389
Arnold Rosner,390
Arnold Schoenberg,391
Aron Estocolmo,392
Arrested Development,393
Arrested Youth,394
Art Blakey,395
Art Blakey & The Jazz Messengers,396
Art Farmer,397
Art Of Dying,398
Art Of Noise,399
Art Pepper,400
Art Porter,401
Art Tatum,402
"Arthur ""Big Boy"" Crudup",403
Arthur Conley,404
Arthur Grumiaux,405
Arthur Lourié,406
Arthur Lyman,407
Arthur Rubinstein,408
Arthur Verocai,409
Artie Shaw,410
Artifacts,411
Artist Vs Poet,412
Arturo Márquez,413
Arturo Sandoval,414
Arvo Pärt,415
Arzachel,416
As I Lay Dying,417
Asa,418
Ash Grunwald,419
Ash Walker,420
Ashanti,421
Asheru and Blue Black of The Unspoken Heard,422
Ashes Remain,423
Ashford & Simpson,424
Ashlee Simpson,425
Ashley Henry,426
Ashley McBryde,427
Ashley Monroe,428
Ashton Shepherd,429
Asia,430
Asiahn,431
Asleep At The Wheel,432
Asriel,433
Astor Piazzolla,434
Astral Doors,435
Astrud Gilberto,436
Atlanta Rhythm Section,437
Atlantic Five Jazz Band,438
Atlas Genius,439
Atmosphere,440
Atrey,441
Atreyu,442
Attila,443
Audio Adrenaline,444
Audio Bullys,445
Audioslave,446
Audra Mae,447
Audrey Assad,448
August Alsina,449
August Greene,450
Augustana,451
Aun J-Classic Orchestra,452
Austin Burke,453
Austin Jenckes,454
Austin Wintory,455
Autechre,456
Avant,457
Avantasia,458
Avatar,459
Avenged Sevenfold,460
Aventura,461
Average White Band,462
Avishai Cohen,463
Awon,464
Axe Murder Boyz,465
Axel Boman,466
Axel Boy,467
Axian,468
Ayana Taketatsu,469
Ayelle,470
Aynsley Lister,471
Ayreon,472
Ayumi Hamasaki,473
AzChike,474
Azealia Banks,475
Azizi Gibson,476
Azusa,477
B Young,478
B-Side,479
B.B. King,480
B.T. Express,481
B.o.B,482
B0nds,483
B12,484
B2K,485
BABYMETAL,486
BACK-ON,487
BADBADNOTGOOD,488
BANKS,489
BANNERS,490
BBC Philharmonic,491
BEXEY,492
BJ The Chicago Kid,493
BLESSED,494
BLOXX,495
BLUE ENCOUNT,496
BONES,497
BRADIO,498
BROCKHAMPTON,499
BROHUG,500
BROWN & GRAY,501
BT,502
BUMP OF CHICKEN,503
BURNOUT SYNDROMES,504
BVRNOUT,505
Baaba Maal,506
Baauer,507
Baba Stiltz,508
Babik Reinhardt,509
Baby Bash,510
Baby Rasta & Gringo,511
Bachman-Turner Overdrive,512
Backini,513
Bad Brains,514
Bad Company,515
Bad English,516
Bad Meets Evil,517
Bad Royale,518
Bad Suns,519
Bad Wolves,520
Badfinger,521
Badflower,522
Badshah,523
Bailo,524
Bajka,525
Baka Not Nice,526
Balance And Composure,527
Ball Greezy,528
Balla Et Ses Balladins,529
Ballyhoo!,530
Balmorhea,531
Banco De Gaia,532
Band Of Skulls,533
Band of Rascals,534
Banes World,535
Barbara Lewis,536
Barbara Lynn,537
Barbara Mandrell,538
Barely Alive,539
Barenaked Ladies,540
BarlowGirl,541
Barns Courtney,542
