category,code
100.0,0
100.001,1
100.00200000000001,2
100.00299999999999,3
100.00399999999999,4
100.005,5
100.006,6
100.007,7
100.008,8
100.009,9
100.01,10
100.01100000000001,11
100.012,12
100.01299999999999,13
100.014,14
100.015,15
100.016,16
100.01700000000001,17
100.01799999999999,18
100.01899999999999,19
100.02,20
100.021,21
100.022,22
100.023,23
100.024,24
100.025,25
100.02600000000001,26
100.027,27
100.02799999999999,28
100.029,29
100.03,30
100.031,31
100.03200000000001,32
100.03299999999999,33
100.03399999999999,34
100.035,35
100.036,36
100.037,37
100.038,38
100.039,39
100.04,40
100.041,41
100.042,42
100.04299999999999,43
100.044,44
100.045,45
100.046,46
100.04700000000001,47
100.04799999999999,48
100.04899999999999,49
100.05,50
100.051,51
100.052,52
100.053,53
100.054,54
100.055,55
100.056,56
100.057,57
100.05799999999999,58
100.06,59
100.061,60
100.06200000000001,61
100.06299999999999,62
100.064,63
100.06700000000001,64
100.068,65
100.07,66
100.071,67
100.072,68
100.073,69
100.075,70
100.07700000000001,71
100.07799999999999,72
100.079,73
100.08,74
100.084,75
100.085,76
100.086,77
100.087,78
100.088,79
100.09,80
100.09100000000001,81
100.09200000000001,82
100.095,83
100.098,84
100.101,85
100.104,86
100.10700000000001,87
100.10799999999999,88
100.11,89
100.11200000000001,90
100.113,91
100.117,92
100.118,93
100.119,94
100.12200000000001,95
100.12700000000001,96
100.12899999999999,97
100.13,98
100.135,99
100.13600000000001,100
100.13799999999999,101
100.14,102
100.14299999999999,103
100.14399999999999,104
100.145,105
100.146,106
100.161,107
100.163,108
100.166,109
100.167,110
100.169,111
100.17,112
100.171,113
100.17200000000001,114
100.175,115
100.178,116
100.179,117
100.181,118
100.18299999999999,119
100.186,120
100.18700000000001,121
100.189,122
100.191,123
100.194,124
100.199,125
100.2,126
100.20200000000001,127
100.206,128
100.212,129
100.21799999999999,130
100.22200000000001,131
100.223,132
100.23100000000001,133
100.23700000000001,134
100.249,135
100.25,136
100.257,137
100.275,138
100.28,139
100.29299999999999,140
100.29799999999999,141
100.3,142
100.303,143
100.306,144
100.30799999999999,145
100.309,146
100.311,147
100.315,148
100.322,149
100.325,150
100.32799999999999,151
100.334,152
100.348,153
100.34899999999999,154
100.354,155
100.35600000000001,156
100.36,157
100.374,158
100.37799999999999,159
100.39,160
100.391,161
100.396,162
100.398,163
100.405,164
100.40700000000001,165
100.416,166
100.419,167
100.42,168
100.432,169
100.43299999999999,170
100.441,171
100.446,172
100.456,173
100.45700000000001,174
100.461,175
100.464,176
100.47,177
100.473,178
100.48100000000001,179
100.488,180
100.495,181
100.49600000000001,182
100.49700000000001,183
100.499,184
100.50399999999999,185
100.505,186
100.51100000000001,187
100.514,188
100.516,189
100.51700000000001,190
100.51899999999999,191
100.52,192
100.522,193
100.53,194
100.531,195
100.53200000000001,196
100.53399999999999,197
100.535,198
100.536,199
100.54,200
100.551,201
100.554,202
100.56200000000001,203
100.56700000000001,204
100.571,205
100.581,206
100.583,207
100.584,208
100.586,209
100.589,210
100.598,211
100.59899999999999,212
100.609,213
100.61,214
100.613,215
100.616,216
100.619,217
100.62,218
100.62299999999999,219
100.62799999999999,220
100.637,221
100.64399999999999,222
100.646,223
100.648,224
100.677,225
100.678,226
100.68299999999999,227
100.684,228
100.68700000000001,229
100.698,230
100.704,231
100.71700000000001,232
100.719,233
100.72399999999999,234
100.725,235
100.726,236
100.735,237
100.736,238
100.74,239
100.743,240
100.744,241
100.751,242
100.76700000000001,243
100.76799999999999,244
100.772,245
100.779,246
100.78299999999999,247
100.795,248
100.804,249
100.806,250
100.81,251
100.81299999999999,252
100.822,253
100.824,254
100.82700000000001,255
100.836,256
100.839,257
100.84200000000001,258
100.845,259
100.846,260
100.851,261
100.85700000000001,262
100.861,263
100.86200000000001,264
100.86399999999999,265
100.866,266
100.867,267
100.87200000000001,268
100.87700000000001,269
100.87799999999999,270
100.884,271
100.887,272
100.88799999999999,273
100.889,274
100.891,275
100.897,276
100.904,277
100.911,278
100.915,279
100.919,280
100.92,281
100.934,282
100.93799999999999,283
100.943,284
100.949,285
100.95700000000001,286
100.96,287
100.961,288
100.962,289
100.963,290
100.965,291
100.96600000000001,292
100.96700000000001,293
100.96799999999999,294
100.97200000000001,295
100.973,296
100.975,297
100.976,298
100.977,299
100.979,300
100.98299999999999,301
100.984,302
100.986,303
100.98700000000001,304
100.98899999999999,305
100.99,306
100.991,307
100.992,308
100.993,309
100.995,310
100.99600000000001,311
101.0,312
101.00200000000001,313
101.00299999999999,314
101.005,315
101.006,316
101.009,317
101.01,318
101.01100000000001,319
101.012,320
101.01299999999999,321
101.016,322
101.01700000000001,323
101.01899999999999,324
101.022,325
101.025,326
101.027,327
101.02799999999999,328
101.03,329
101.031,330
101.03200000000001,331
101.03399999999999,332
101.038,333
101.042,334
101.045,335
101.04799999999999,336
101.04899999999999,337
101.05,338
101.051,339
101.053,340
101.057,341
101.061,342
101.06299999999999,343
101.065,344
101.066,345
101.068,346
101.069,347
101.072,348
101.07799999999999,349
101.079,350
101.08200000000001,351
101.083,352
101.089,353
101.09100000000001,354
101.094,355
101.1,356
101.105,357
101.113,358
101.117,359
101.12200000000001,360
101.13,361
101.132,362
101.135,363
101.13600000000001,364
101.14299999999999,365
101.152,366
101.15299999999999,367
101.15899999999999,368
101.162,369
101.165,370
101.166,371
101.171,372
101.17299999999999,373
101.17399999999999,374
101.185,375
101.18799999999999,376
101.19200000000001,377
101.194,378
101.20200000000001,379
101.212,380
101.22,381
101.229,382
101.23,383
101.23700000000001,384
101.24,385
101.241,386
101.243,387
101.25,388
101.25299999999999,389
101.255,390
101.266,391
101.277,392
101.279,393
101.28,394
101.28200000000001,395
101.285,396
101.29,397
101.292,398
101.29899999999999,399
101.302,400
101.307,401
101.31,402
101.316,403
101.319,404
101.321,405
101.324,406
101.334,407
101.344,408
101.348,409
101.355,410
101.35700000000001,411
101.361,412
101.36200000000001,413
101.368,414
101.37899999999999,415
101.381,416
101.382,417
101.383,418
