duration_ms,instance_id,track_name,tempo,artist_name,popularity,loudness,key,music_genre,mode,obtained_date,acousticness
-1.0,32894.0,28371.0,274.0,5029.0,27.0,-5.2010000000000005,1.0,5.0,1.0,3.0,0.00468
218293.0,46652.0,34817.0,4193.0,6117.0,31.0,-7.042999999999999,5.0,5.0,1.0,3.0,0.0127
215613.0,30097.0,15024.0,8138.0,1591.0,28.0,-4.617,11.0,5.0,0.0,3.0,0.00306
166875.0,62177.0,23372.0,8158.0,1707.0,34.0,-4.498,4.0,5.0,0.0,3.0,0.0254
222369.0,24907.0,8649.0,13021.0,6519.0,32.0,-6.266,9.0,5.0,0.0,3.0,0.00465
519468.0,89064.0,14104.0,29393.0,466.0,47.0,-10.517,5.0,5.0,1.0,3.0,0.0052299999999999
214408.0,43760.0,6453.0,14160.0,3013.0,46.0,-4.294,2.0,5.0,0.0,3.0,0.0289
416132.0,30738.0,8170.0,5661.0,2520.0,43.0,-9.339,10.0,5.0,1.0,3.0,0.0297
292800.0,84950.0,22811.0,14114.0,3185.0,39.0,-3.175,8.0,5.0,1.0,3.0,0.00299
204800.0,56950.0,18987.0,11594.0,5211.0,22.0,-7.091,0.0,5.0,1.0,3.0,0.00934
170463.0,49030.0,20220.0,20011.0,1109.0,30.0,-13.787,9.0,5.0,1.0,3.0,0.855
165132.0,22654.0,21770.0,18627.0,2119.0,27.0,-5.439,2.0,5.0,1.0,2.0,0.0337
236089.0,69056.0,28714.0,8186.0,1079.0,31.0,-3.464,3.0,5.0,0.0,3.0,0.016
-1.0,62039.0,4959.0,15016.0,1378.0,31.0,-10.536,0.0,5.0,1.0,3.0,0.86
243857.0,49205.0,4522.0,11576.0,2213.0,27.0,-1.5530000000000002,5.0,5.0,0.0,3.0,0.000194
240000.0,83192.0,4934.0,24.0,1908.0,50.0,-2.51,10.0,5.0,0.0,3.0,0.00331
-1.0,83926.0,24605.0,14510.0,5087.0,59.0,-4.315,4.0,5.0,1.0,3.0,0.136
